date,xlb,xlc,xle,xlf,xli,xlk,xlp,xlre,xlu,xlv,xly
2025-10-15,62470000,228600000,294270000,1012350000,153930000,319760000,199420000,189400000,245020000,251870000,103200000
2025-10-16,62420000,228650000,294320000,1005600000,153430000,319810000,200620000,187900000,246520000,251720000,102650000
2025-10-17,63170000,228950000,293770000,1000350000,153630000,320310000,202420000,189150000,249020000,252320000,102550000
2025-10-20,63070000,229100000,293570000,1002950000,153280000,320960000,200570000,188550000,247420000,251820000,103150000
2025-10-21,63870000,229700000,295770000,1012800000,153880000,321360000,199270000,188150000,249620000,250720000,103050000
2025-10-22,64069999,230700000,295420000,1013650000,156780000,321460000,206870000,188600000,250170000,252320000,103600000
2025-10-23,63870000,230750000,295420000,997950000,156130000,320960000,207820000,189550000,250670000,252870000,103550000
2025-10-24,63920000,230750000,299220000,997750000,156880000,321010000,208470000,189200000,252220000,252670000,103050000
2025-10-27,63770000,230400000,299320000,998600000,157080000,322360000,206770000,189200000,252670000,252520000,102600000
2025-10-28,63770000,230550000,299120000,1009050000,156880000,321110000,205770000,189200000,252570000,251920000,102650000
2025-10-29,63920000,231050000,298670000,1004650000,156730000,322660000,205370000,186450000,252570000,251920000,102650000
2025-10-30,63720000,231150000,298370000,1007600000,156680000,323010000,203120000,187100000,252570000,253070000,102600000
2025-10-31,64519999,229000000,298620000,1006150000,156830000,322810000,204020000,186900000,253270000,253070000,102850000
2025-11-03,64670000,228700000,300020000,1006750000,155830000,322910000,201870000,185050000,252970000,250870000,103450000
2025-11-04,64670000,228100000,300020000,1006750000,156180000,322560000,201870000,185050000,252970000,250870000,103550000
2025-11-05,64069999,227850000,300270000,998300000,156080000,322260000,199320000,184900000,250920000,251970000,103200000
2025-11-06,66120000,228000000,300470000,1004600000,156130000,321960000,196870000,184150000,251670000,250920000,103950000
2025-11-07,63870000,227600000,303470000,1002250000,156430000,322510000,196270000,183000000,251670000,252270000,103450000
2025-11-10,63920000,227650000,304920000,1004400000,155930000,322810000,194620000,183250000,251020000,252420000,103350000
2025-11-11,62870000,227500000,304720000,1002400000,155830000,322910000,191620000,182850000,251020000,252520000,103200000
2025-11-12,61570000,227400000,305720000,1007150000,156330000,323660000,193720000,182850000,251120000,253970000,102350000
2025-11-13,60470000,227400000,305820000,1009300000,157130000,322910000,194570000,182700000,250870000,255420000,101800000
2025-11-14,59070000,227350000,306420000,1005400000,156280000,323660000,194770000,184100000,250020000,256670000,101400000
2025-11-17,59070000,226850000,306620000,1006150000,156380000,323510000,194620000,183300000,249670000,257769999,101850000
2025-11-18,58920000,227050000,304520000,998600000,155630000,324110000,193820000,183300000,249770000,258769999,101000000
2025-11-19,58770000,225000000,304420000,1000600000,154930000,324210000,193870000,182950000,249770000,257620000,99250000
2025-11-20,58320000,225400000,303970000,998900000,155580000,326210000,192570000,182950000,248720000,257720000,98950000
2025-11-21,57620000,226050000,299470000,994350000,156630000,326310000,192120000,182400000,248820000,257070000,98850000
2025-11-24,57820000,225950000,299670000,986350000,156830000,326260000,191570000,182550000,248970000,259269999,99000000
2025-11-25,57570000,226200000,300220000,979450000,157330000,326110000,192620000,182700000,248470000,260070000,98550000
2025-11-26,57570000,226200000,300220000,979450000,157330000,326110000,192620000,182700000,248470000,260070000,98550000
2025-11-28,57770000,227100000,300620000,972800000,157830000,326510000,195070000,181800000,248720000,259120000,98350000
2025-12-01,57670000,227500000,301570000,973700000,159730000,326410000,195570000,181800000,248520000,259720000,98350000
2025-12-02,56420000,227350000,302420000,979750000,159980000,326110000,191070000,181750000,247670000,260070000,98700000
2025-12-03,57020000,227850000,303520000,976050000,160530000,326210000,190720000,181250000,246720000,261670000,98850000
2025-12-04,56870000,228200000,301470000,971550000,160830000,325810000,191720000,180800000,246270000,261769999,101700000
2025-12-05,112950000,228200000,602250000,976200000,161330000,650610000,192770000,181050000,496150000,261720000,198310000
2025-12-08,112950000,228200000,602550000,976500000,160930000,649860000,190020000,180650000,498450000,261620000,198410000
2025-12-09,114600000,227950000,602500000,977600000,161380000,648660000,190620000,180650000,501500000,260620000,198310000
2025-12-10,115800000,227950000,603850000,974350000,161630000,648160000,190620000,180650000,506100000,261870000,199410000
2025-12-11,115700000,228600000,605650000,979200000,163230000,647210000,190020000,181900000,510650000,262570000,200910000
2025-12-12,116800000,229100000,606050000,983000000,163330000,646160000,193120000,184600000,512350000,262170000,201610000
2025-12-15,118300000,229800000,604700000,985450000,162780000,647810000,193170000,184600000,512799999,261920000,201410000
2025-12-16,118650000,229500000,596000000,982800000,163080000,647660000,194170000,185450000,511500000,260820000,201810000
2025-12-17,118200000,229350000,591800000,976200000,164180000,647260000,192470000,190950000,510750000,260269999,201310000
2025-12-18,117100000,245300000,590250000,967900000,163480000,648310000,188120000,185700000,508650000,259269999,201710000
2025-12-19,116450000,244850000,592250000,971350000,164130000,647310000,187720000,186200000,509700000,259920000,201710000
2025-12-22,122500000,228650000,593900000,969250000,164330000,644110000,185820000,185950000,511450000,258120000,200410000
2025-12-23,121450000,229600000,590600000,969100000,165030000,643110000,187620000,185950000,510400000,256920000,200360000
2025-12-24,121450000,229600000,590600000,969100000,165030000,643110000,187620000,185950000,510400000,256920000,200360000
2025-12-26,118400000,229550000,592800000,979350000,164430000,644010000,189120000,185750000,509200000,256519999,203560000
2025-12-29,118650000,230150000,592400000,978950000,164430000,644010000,187120000,185750000,511900000,256920000,203610000
2025-12-30,118450000,230150000,592350000,965150000,164430000,643160000,187170000,184400000,510850000,256570000,203460000
2025-12-31,118450000,230150000,592350000,965150000,164430000,643160000,187170000,184400000,510850000,256570000,203460000
2026-01-02,117550000,230650000,591950000,970350000,164780000,641010000,188420000,182550000,507450000,256470000,204160000
2026-01-06,119850000,229700000,600350000,986850000,169630000,641860000,186970000,182950000,509200000,257970000,202610000
2026-01-07,122850000,229500000,603350000,986000000,169580000,641460000,186970000,183650000,509350000,261870000,200060000
2026-01-08,123050000,229600000,602200000,985050000,169780000,642810000,185970000,184000000,505750000,263370000,199810000
2026-01-09,124050000,228700000,601700000,982600000,170480000,642660000,186020000,183750000,507500000,263519999,199510000
2026-01-12,124500000,229350000,602000000,982750000,169930000,643310000,186370000,183750000,506500000,264070000,198710000
2026-01-13,123750000,229250000,603100000,990700000,169930000,640610000,194170000,183950000,507100000,264470000,198310000
2026-01-14,122000000,229500000,608300000,991800000,170030000,642860000,199120000,183850000,509550000,263970000,197710000
2026-01-15,120550000,229200000,611750000,998550000,169730000,643660000,197470000,183450000,511300000,264220000,198310000
2026-01-16,120550000,229200000,611750000,998550000,169730000,643660000,197470000,183450000,511300000,264220000,198310000
2026-01-20,120050000,230800000,616650000,1023250000,168530000,643410000,198820000,171500000,511450000,265269999,197060000
2026-01-21,118700000,230850000,615700000,1027500000,167630000,641660000,196070000,172000000,511250000,266320000,197160000
2026-01-22,118100000,230050000,616700000,1030050000,167730000,641410000,194820000,172000000,509800000,266420000,197010000
2026-01-23,120600000,230300000,619600000,1034000000,167380000,639860000,194520000,172300000,511250000,265769999,196310000
2026-01-26,121400000,231150000,621200000,1036849999,167030000,638560000,195870000,172050000,511250000,265070000,196360000
2026-01-27,121600000,232100000,627400000,1046300000,166780000,638010000,192470000,172050000,511800000,264970000,196110000
2026-01-28,122700000,232100000,630250000,1051099999,166830000,640910000,193120000,172050000,511950000,264920000,196210000
2026-01-29,122550000,231550000,631900000,1038800000,166580000,640310000,192170000,172050000,510550000,264570000,196060000
2026-01-30,124250000,232800000,646800000,1034550000,169180000,636860000,193520000,173900000,513049999,264820000,197060000
2026-02-02,123950000,232450000,645700000,1026200000,168080000,637010000,191420000,174350000,508650000,264720000,197510000
2026-02-03,125950000,231850000,650500000,1030450000,170430000,633910000,192220000,174350000,508600000,265370000,197010000
2026-02-04,128699999,231100000,656800000,1029300000,172130000,632110000,193270000,174400000,508600000,266570000,196460000
2026-02-05,129250000,230750000,662550000,1020700000,172180000,632660000,192570000,174450000,508250000,267019999,195910000
2026-02-06,129150000,230750000,662550000,1020700000,172180000,632660000,192570000,172450000,508250000,267019999,195910000
2026-02-09,127650000,229250000,664200000,1018700000,173630000,633010000,187420000,172400000,506050000,267519999,191960000
2026-02-10,128400000,228300000,666750000,1020350000,174180000,631260000,189220000,172400000,503850000,267019999,192360000
