date,aes_shares,vst_shares,ed_shares,awk_shares,pnw_shares,pcg_shares,peg_shares,eix_shares,so_shares,cms_shares,etr_shares,lnt_shares,es_shares,wec_shares,ni_shares,duk_shares,dte_shares,ppl_shares,ceg_shares,fe_shares,exc_shares,aee_shares,d_shares,sre_shares,nee_shares,cnp_shares,aep_shares,xel_shares,evrg_shares,ato_shares,nrg_shares
2025-03-31,10479130,5014239,5106024,2872304,1675681,32328782,7342779,5705768,16148139,4403637,6319854,3781701,5405669,4681979,6925959,11436633,3054302,10880952,4610645,7559380,14814822,3977805,12380080,9334996,30307152,9605039,7858468,8463136,3389322,2339336,2985383
2025-04-01,10479130,5014239,5106024,2872304,1675681,32328782,7342779,5705768,16148139,4403637,6319854,3781701,5405669,4681979,6925959,11436633,3054302,10880952,4610645,7559380,14814822,3977805,12380080,9334996,30307152,9605039,7858468,8463136,3389322,2339336,2985383
2025-04-03,10602090,5073069,5165914,2906012,1695344,32708076,7428902,5772707,16337614,4455312,6394001,3826062,5469110,4736887,7007208,11570829,3090130,11008629,4664758,7648049,14988635,4024498,12525326,9444520,30662729,9717717,7950688,8562431,3429072,2366790,3020416
2025-04-07,10451290,5000919,5092464,2864672,1671229,32242871,7323277,5690612,16105239,4391937,6303066,3771657,5391305,4669547,6907563,11406249,3046190,10852044,4598393,7539304,14775435,3967233,12347161,9310222,30226644,9579527,7837588,8440678,3380322,2333120,2977451
2025-04-16,10402570,4977609,5068713,2851316,1663438,32092497,7289131,5664089,16030143,4371462,6273687,3754080,5366168,4647770,6875349,11353077,3031994,10801455,4576952,7504150,14706555,3948732,12289600,9266815,30085713,9534860,7801048,8401324,3364516,2322242,2963570
2025-04-22,10544090,5045319,5137704,2890112,1686069,32529135,7388317,5741132,16248279,4430937,6359026,3805137,5439185,4711027,6968923,11507529,3073230,10948404,4639233,7606264,14906635,4002473,12456801,9392902,30495084,9664607,7907188,8515638,3410266,2353840,3003891
2025-04-23,10541770,5044209,5136573,2889476,1685698,32521977,7386691,5739869,16244703,4429962,6357627,3804300,5437988,4709990,6967389,11504997,3072554,10945995,4638212,7604590,14903355,4001592,12454060,9390835,30488373,9662480,7905448,8513764,3409516,2353322,3003230
2025-04-25,10555690,5050869,5143359,2893292,1687924,32564925,7396447,5747447,16266159,4435812,6366021,3809322,5445170,4716212,6976593,11520189,3076610,10960449,4644338,7614634,14923035,4006878,12470506,9403237,30528639,9675242,7915888,8525008,3414016,2356430,3007196
2025-04-28,10578890,5061969,5154669,2899652,1691634,32636505,7412707,5760077,16301919,4445562,6380011,3817692,5457140,4726582,6991933,11545509,3083370,10984539,4654548,7631374,14955835,4015688,12497916,9423907,30595749,9696512,7933288,8543748,3421516,2361610,3013806
2025-05-13,10618361,5080838,5173896,2910464,1697941,32758240,7440361,5781567,16362724,4462149,6403813,3831940,5477501,4744211,7018011,11588584,3094861,11025523,4671905,7659844,15011613,4030665,12544544,9459045,30709878,9732670,7962867,8575605,3434285,2370416,3025043
2025-05-14,10618361,5080838,5173896,2910464,1697941,32758240,7440361,5781567,16362724,4462149,6403813,3831940,5477501,4744211,7018011,11588584,3094861,11025523,4671905,7659844,15011613,4030665,12544544,9459045,30709878,9732670,7962867,8575605,3434285,2370416,3025043
2025-05-16,10618361,5080838,5173896,2910464,1697941,32758240,7440361,5781567,16362724,4462149,6403813,3831940,5477501,4744211,7018011,11588584,3094861,11025523,4671905,7659844,15011613,4030665,12544544,9459045,30709878,9732670,7962867,8575605,3434285,2370416,3025043
2025-05-19,10618361,5080838,5173896,2910464,1697941,32758240,7440361,5781567,16362724,4462149,6403813,3831940,5477501,4744211,7018011,11588584,3094861,11025523,4671905,7659844,15011613,4030665,12544544,9459045,30709878,9732670,7962867,8575605,3434285,2370416,3025043
2025-05-20,10618361,5080838,5173896,2910464,1697941,32758240,7440361,5781567,16362724,4462149,6403813,3831940,5477501,4744211,7018011,11588584,3094861,11025523,4671905,7659844,15011613,4030665,12544544,9459045,30709878,9732670,7962867,8575605,3434285,2370416,3025043
2025-05-21,10598866,5071602,5164416,2905168,1694907,32698446,7426772,5771029,16332782,4453973,6392152,3824948,5467499,4735526,7005109,11567348,3089279,11005323,4663301,7645891,14984248,4023278,12521529,9441773,30653690,9714818,7948292,8559918,3428080,2366105,3019580
2025-07-07,10765584,5131371,5448426,2949043,1805620,33233669,7545957,5818509,16620019,4523444,6749582,3884467,5555577,4826038,7118029,11753820,3138106,11179319,4739529,7767801,15266353,4087224,12895984,9862247,31130948,9870653,8078169,8721871,3479482,2401917,2956529
2025-07-08,10765584,5131371,5448426,2949043,1805620,33233669,7545957,5818509,16620019,4523444,6749582,3884467,5555577,4826038,7118029,11753820,3138106,11179319,4739529,7767801,15266353,4087224,12895984,9862247,31130948,9870653,8078169,8721871,3479482,2401917,2956529
2025-07-09,10909052,5199757,5521028,2988351,1829676,33676597,7646521,5896071,16841545,4583708,6839544,3936237,5629605,4890332,7212889,11910494,3179956,11328305,4802707,7871341,15469837,4141722,13067848,9993687,31545852,10002217,8185801,8838121,3525858,2433909,2995961
2025-07-10,11068718,5275864,5601827,3032097,1856448,34169533,7758439,5982390,17088082,4650776,6939663,3993852,5711991,4961885,7318459,12084857,3226531,11494112,4873018,7986571,15696295,4202373,13259116,10139967,32007600,10148635,8305585,8967496,3577470,2469513,3039845
2025-07-11,11170534,5324396,5653351,3059993,1873520,34483869,7829807,6037434,17245294,4693544,7003507,4030592,5764527,5007513,7385779,12196045,3256231,11599844,4917854,8060051,15840703,4241049,13381084,10233247,32302048,10242003,8381969,9049996,3610382,2492217,3067829
2025-07-14,11226070,5350868,5681455,3075209,1882832,34655325,7868735,6067458,17331046,4716872,7038331,4050632,5793183,5032401,7422499,12256693,3272431,11657516,4942310,8100131,15919471,4262145,13447612,10284127,32462656,10292931,8423633,9094996,3628334,2504601,3083093
2025-07-15,11200616,5338735,5668574,3068235,1878564,34576741,7850893,6053697,17291743,4706180,7022370,4041447,5780049,5020994,7405669,12228907,3265006,11631083,4931101,8081761,15883369,4252476,13417120,10260807,32389044,10269589,8404537,9074371,3620106,2498925,3076097
2025-07-16,11186732,5332117,5661548,3064431,1876236,34533877,7841161,6046191,17270311,4700348,7013664,4036437,5772885,5014772,7396489,12213751,3260956,11616665,4924987,8071741,15863677,4247202,13400488,10248087,32348892,10256857,8394121,9063121,3615618,2495829,3072281
2025-07-17,11184418,5331014,5660377,3063797,1875848,34526733,7839539,6044940,17266739,4699376,7012213,4035602,5771691,5013735,7394959,12211225,3260281,11614262,4923968,8070071,15860395,4246323,13397716,10245967,32342200,10254735,8392385,9061246,3614870,2495313,3071645
2025-07-18,11223756,5349765,5680284,3074575,1882444,34648181,7867113,6066207,17327463,4715900,7036880,4049797,5791989,5031364,7420969,12254167,3271756,11655113,4941291,8098461,15916189,4261266,13444840,10282007,32455964,10290809,8421897,9093121,3627586,2504085,3082457
2025-07-21,11265408,5369619,5701362,3085987,1889428,34776773,7896309,6088725,17391759,4733396,7062998,4064827,5813481,5050030,7448509,12299635,3283906,11698367,4959633,8128521,15975247,4277088,13494736,10320167,32576420,10329005,8453145,9126871,3641050,2513373,3093905
2025-07-22,11304746,5388370,5721269,3096765,1896024,34898204,7923883,6109992,17452483,4749920,7087665,4079022,5833779,5067659,7474519,12342577,3295381,11739218,4976956,8156911,16031024,4292031,13541860,10356207,32690184,10365079,8482657,9158746,3653766,2522145,3104700
2025-07-23,11318630,5394988,5728295,3100569,1898352,34941062,7933615,6117498,17473915,4755752,7096371,4084032,5840943,5073881,7483699,12357733,3299431,11753636,4983070,8166931,16050710,4297305,13558492,10368927,32730330,10377811,8493073,9169996,3658254,2525241,3108510
2025-07-24,11307060,5389473,5722440,3097399,1896412,34905347,7925505,6111243,17456055,4750892,7089116,4079857,5834973,5068696,7476049,12345103,3296056,11741621,4977975,8158581,16034305,4292910,13544632,10358327,32696875,10367201,8484393,9160621,3654514,2522661,3105335
2025-07-25,11399620,5433593,5769280,3122759,1911932,35191067,7990385,6161283,17598935,4789772,7147156,4113257,5882733,5110176,7537249,12446143,3323056,11837741,5018735,8225381,16165545,4328070,13655512,10443127,32964515,10452081,8553833,9235621,3684434,2543301,3130735
2025-07-28,11394992,5431387,5766938,3121491,1911156,35176781,7987141,6158781,17591791,4787828,7144254,4111587,5880345,5108102,7534189,12441091,3321706,11832935,5016697,8222041,16158983,4326312,13649968,10438887,32951133,10447837,8550361,9231871,3682938,2542269,3129465
2025-07-29,11394992,5431387,5766938,3121491,1911156,35176781,7987141,6158781,17591791,4787828,7144254,4111587,5880345,5108102,7534189,12441091,3321706,11832935,5016697,8222041,16158983,4326312,13649968,10438887,32951133,10447837,8550361,9231871,3682938,2542269,3129465
2025-07-30,11320944,5396091,5729466,3101203,1898740,34948205,7935237,6118749,17477487,4756724,7097822,4084867,5842137,5074918,7485229,12360259,3300106,11756039,4984089,8168601,16053991,4298184,13561264,10371047,32737021,10379933,8494809,9171871,3659002,2525757,3109145
2025-07-31,11314002,5392782,5725953,3099301,1897576,34926776,7930371,6114996,17466771,4753808,7093469,4082362,5838555,5071807,7480639,12352681,3298081,11748830,4981032,8163591,16044148,4295547,13552948,10364687,32716948,10373567,8489601,9166246,3656758,2524209,3107240
2025-08-01,11307060,5389473,5722440,3097399,1896412,34905341,7925505,6111243,17456052,4750892,7089116,4079857,5834973,5068693,7476049,12345100,3296056,11741621,4977975,8158581,16034302,4292910,13544632,10358327,32696869,10367201,8484390,9160621,3654514,2522661,3105332
2025-08-04,11364935,5417048,5751740,3113249,1906112,35083991,7966080,6142518,17545402,4775217,7125391,4100732,5864848,5094643,7514324,12408275,3312931,11801721,5003450,8200331,16116377,4314885,13613957,10411352,32864219,10420276,8527815,9207521,3673214,2535586,3121232
2025-08-05,11411235,5439108,5775180,3125929,1913872,35226911,7998540,6167538,17616882,4794677,7154411,4117432,5888748,5115403,7544944,12458815,3326431,11849801,5023830,8233731,16182037,4332465,13669417,10453772,32998099,10462736,8562555,9245021,3688174,2545906,3133952
2025-08-06,11459850,5462271,5799792,3139243,1922020,35376977,8032623,6193809,17691936,4815110,7184882,4134967,5913843,5137201,7577095,12511882,3340606,11900285,5045229,8268801,16250980,4350924,13727650,10498313,33138673,10507319,8599032,9284396,3703882,2556742,3147308
2025-08-07,11485315,5474404,5812684,3146217,1926288,35455583,8050476,6207570,17731250,4825813,7200843,4144152,5926988,5148619,7593936,12539679,3348031,11926729,5056438,8287171,16287093,4360593,13758153,10521644,33212307,10530672,8618139,9305021,3712110,2562429,3154304
2025-08-08,11462165,5463364,5800964,3139877,1922408,35384103,8034246,6195060,17695510,4816083,7186323,4135802,5915038,5138239,7578626,12514399,3341281,11902689,5046248,8270461,16254263,4351803,13730413,10500434,33145357,10509442,8600769,9286261,3704630,2557259,3147944
2025-08-11,11508485,5485444,5824404,3152577,1930188,35527123,8066726,6220100,17767030,4835543,7215363,4152522,5938938,5158999,7609266,12564979,3354781,11950809,5066648,8303881,16319963,4369383,13785913,10542874,33279337,10551922,8635529,9323801,3719610,2567599,3160664
2025-08-12,11508485,5485444,5824404,3152577,1930188,35527123,8066726,6220100,17767030,4835543,7215363,4152522,5938938,5158999,7609266,12564979,3354781,11950809,5066648,8303881,16319963,4369383,13785913,10542874,33279337,10551922,8635529,9323801,3719610,2567599,3160664
2025-08-13,11557142,5508628,5849037,3165912,1938357,35677336,8100830,6246392,17842147,4855997,7245876,4170078,5964054,5180818,7641438,12618109,3368956,12001335,5088068,8338993,16388969,4387863,13844209,10587457,33420058,10596547,8672048,9363218,3735339,2578456,3174020
2025-08-14,11536154,5498748,5838469,3160052,1934833,35612624,8086030,6234944,17809783,4847213,7232712,4162586,5953318,5171494,7627510,12595113,3362740,11979507,5078832,8323825,16359161,4379783,13819177,10568173,33359294,10577231,8656408,9346170,3728555,2573884,3168128
2025-08-15,11536154,5498748,5838469,3160052,1934833,35612624,8086030,6234944,17809783,4847213,7232712,4162586,5953318,5171494,7627510,12595113,3362740,11979507,5078832,8323825,16359161,4379783,13819177,10568173,33359294,10577231,8656408,9346170,3728555,2573884,3168128
2025-08-18,11550068,5505378,5845513,3163862,1937167,35655578,8095780,6242462,17831263,4853057,7241436,4167608,5960500,5177734,7636708,12610305,3366796,11993955,5084958,8333863,16378889,4385063,13835845,10580917,33399530,10589987,8666848,9357444,3733055,2576986,3171950
2025-08-19,11563988,5512014,5852557,3167678,1939501,35698556,8105536,6249986,17852755,4858907,7250166,4172630,5967682,5183974,7645912,12625503,3370852,12008415,5091090,8343907,16398635,4390349,13852525,10593673,33439790,10602755,8677294,9368724,3737555,2580094,3175772
2025-08-20,11575598,5517549,5858432,3170858,1941446,35734396,8113676,6256261,17870680,4863787,7257446,4176820,5973672,5189179,7653587,12638178,3374237,12020470,5096200,8352282,16415100,4394759,13866435,10604308,33473365,10613400,8686004,9378129,3741310,2582684,3178962
2025-08-21,11545412,5503158,5843157,3162590,1936389,35641212,8092512,6239946,17824075,4851099,7238518,4165926,5958098,5175646,7633632,12605223,3365436,11989127,5082914,8330507,16372291,4383293,13830269,10576657,33386070,10585723,8663358,9353676,3731560,2575950,3170668
2025-08-22,11529158,5495409,5834932,3158138,1933666,35591029,8081116,6231161,17798980,4844267,7228326,4160060,5949712,5168359,7622887,12587478,3360697,11972243,5075760,8318775,16349240,4377119,13810795,10561768,33339065,10570820,8651157,9340509,3726303,2572324,3166202
2025-08-25,11529158,5495409,5834932,3158138,1933666,35591029,8081116,6231161,17798980,4844267,7228326,4160060,5949712,5168359,7622887,12587478,3360697,11972243,5075760,8318775,16349240,4377119,13810795,10561768,33339065,10570820,8651157,9340509,3726303,2572324,3166202
2025-08-26,11529158,5495409,5834932,3158138,1933666,35591029,8081116,6231161,17798980,4844267,7228326,4160060,5949712,5168359,7622887,12587478,3360697,11972243,5075760,8318775,16349240,4377119,13810795,10561768,33339065,10570820,8651157,9340509,3726303,2572324,3166202
2025-08-27,11452499,5458878,5796124,3137150,1920796,35354386,8027392,6189746,17680642,4812059,7180278,4132406,5910145,5134006,7572199,12503790,3338356,11892647,5042001,8263467,16240538,4348013,13718956,10491544,33117404,10500530,8593638,9278403,3701520,2555230,3145148
2025-08-28,11543096,5502051,5841988,3161954,1936006,35634055,8090884,6238691,17820496,4850123,7237062,4165088,5956906,5174605,7632103,12602694,3364759,11986715,5081898,8328831,16369004,4382411,13827466,10574536,33379367,10583600,8661615,9351801,3730809,2575432,3170030
2025-08-29,11543096,5502051,5841988,3161954,1936006,35634055,8090884,6238691,17820496,4850123,7237062,4165088,5956906,5174605,7632103,12602694,3364759,11986715,5081898,8328831,16369004,4382411,13827466,10574536,33379367,10583600,8661615,9351801,3730809,2575432,3170030
2025-09-02,11499246,5481143,5819786,3149992,1928566,35498553,8060104,6215009,17752682,4831621,7209554,4149274,5934206,5154913,7603141,12554806,3351931,11941151,5062474,8297103,16306682,4365753,13774856,10534256,33252469,10543268,8628645,9316217,3716583,2565638,3158020
2025-09-03,11513196,5487791,5826848,3153814,1930906,35541615,8069884,6222551,17774216,4837483,7218302,4154308,5941406,5161165,7612363,12570034,3355999,11955635,5068618,8307171,16326464,4371051,13791566,10547036,33292807,10556060,8639115,9327521,3721089,2568752,3161854
2025-09-04,11510871,5486683,5825671,3153177,1930516,35534438,8068254,6221294,17770627,4836506,7216844,4153469,5940206,5160123,7610826,12567496,3355321,11953221,5067594,8305493,16323167,4370168,13788781,10544906,33286084,10553928,8637370,9325637,3720338,2568233,3161215
2025-09-05,11515521,5488899,5828025,3154451,1931296,35548792,8071514,6223808,17777805,4838460,7219760,4155147,5942606,5162207,7613900,12572572,3356677,11958049,5069642,8308849,16329761,4371934,13794351,10549166,33299530,10558192,8640860,9329405,3721840,2569271,3162493
2025-09-08,11566693,5513297,5853919,3168465,1939876,35706774,8107374,6251462,17856807,4859954,7251836,4173605,5969006,5185153,7647736,12628452,3371593,12011179,5092170,8345765,16402317,4391360,13855643,10596048,33447502,10605118,8679250,9370853,3738384,2580689,3176551
2025-09-09,11531803,5496662,5836264,3158910,1934026,35599059,8082924,6232607,17802942,4845299,7229966,4161020,5951006,5169508,7624666,12590352,3361423,11974954,5076810,8320595,16352832,4378115,13813853,10564083,33346612,10573123,8653075,9342578,3727104,2572904,3166966
2025-09-10,11531803,5496662,5836264,3158910,1934026,35599059,8082924,6232607,17802942,4845299,7229966,4161020,5951006,5169508,7624666,12590352,3361423,11974954,5076810,8320595,16352832,4378115,13813853,10564083,33346612,10573123,8653075,9342578,3727104,2572904,3166966
2025-09-11,11452685,5458956,5796212,3137252,1920766,35354816,8027470,6189835,17680793,4812047,7180360,4132460,5910172,5134046,7572340,12503958,3338371,11892789,5041973,8263509,16240632,4348072,13719074,10491595,33117805,10500567,8593711,9278488,3701536,2555258,3145240
2025-09-12,11452685,5458956,5796212,3137252,1920766,35354816,8027470,6189835,17680793,4812047,7180360,4132460,5910172,5134046,7572340,12503958,3338371,11892789,5041973,8263509,16240632,4348072,13719074,10491595,33117805,10500567,8593711,9278488,3701536,2555258,3145240
2025-09-15,11389856,5429013,5764406,3120053,1910236,35160848,7983433,6155869,17583782,4785641,7140967,4109780,5877745,5105885,7530787,12435351,3320065,11827530,5014298,8218176,16151532,4324204,13643798,10434031,32936122,10442949,8546569,9227593,3681232,2541245,3127987
2025-09-16,11364248,5416803,5751448,3113035,1905946,35081791,7965481,6142031,17544248,4774883,7124907,4100540,5864534,5094401,7513858,12407389,3312596,11800932,5003023,8199696,16115221,4314480,13613119,10410568,32862070,10419464,8527352,9206847,3672960,2535536,3120958
2025-09-17,11366576,5417913,5752626,3113673,1906336,35088978,7967113,6143289,17547842,4775861,7126367,4101380,5865735,5095445,7515397,12409931,3313275,11803350,5004048,8201376,16118523,4315364,13615908,10412701,32868803,10421599,8529099,9208733,3673712,2536055,3121597
2025-09-18,11364248,5416803,5751448,3113035,1905946,35081791,7965481,6142031,17544248,4774883,7124907,4100540,5864534,5094401,7513858,12407389,3312596,11800932,5003023,8199696,16115221,4314480,13613119,10410568,32862071,10419464,8527352,9206847,3672960,2535536,3120958
2025-09-19,11323318,5064763,5735228,3102545,1899136,34950981,7936631,6119821,17493408,4760173,7098977,4086420,5901674,5118451,7487728,12366109,3301196,11760102,4967983,8263866,16061231,4300220,13571659,10375888,32747801,10382174,8504532,9405067,3660020,2552676,3076018
2025-09-22,11309410,5058541,5728184,3098735,1896802,34908063,7926887,6112303,17471928,4754329,7090259,4081404,5894426,5112163,7478530,12350923,3297140,11745660,4961881,8253720,16041509,4294940,13554991,10363144,32707583,10369424,8494086,9393517,3655526,2549544,3072238
2025-09-23,11251460,5032616,5698834,3082860,1887077,34729188,7886262,6080978,17382403,4729979,7053934,4060479,5864226,5085963,7440205,12287623,3280240,11685485,4936456,8211420,15959309,4272940,13485541,10310044,32539983,10316299,8450561,9345392,3636801,2536469,3056488
2025-09-24,11242616,5028720,5694342,3080480,1885665,34701948,7880062,6076154,17368755,4726287,7048410,4057283,5859562,5081979,7434441,12277967,3277632,11676329,4932620,8205084,15946805,4269500,13475017,10301952,32514451,10308199,8443933,9338092,3633909,2534485,3054148
2025-09-25,11249570,5031831,5697864,3082385,1886832,34723413,7884937,6079913,17379498,4729209,7052769,4059794,5863186,5085123,7439040,12285560,3279660,11683550,4935671,8210160,15956669,4272140,13483351,10308324,32534563,10314574,8449156,9343867,3636156,2536054,3056038
