date,lkq_price,expe_price,grmn_price,azo_price,rl_price,nke_price,yum_price,dhi_price,tsco_price,rost_price,mhk_price,dpz_price,tjx_price,mgm_price,tpr_price,hlt_price,phm_price,sbux_price,wsm_price,dash_price,rcl_price,ulta_price,nvr_price,dri_price,has_price,gm_price,lvs_price,ebay_price,amzn_price,kmx_price,abnb_price,nclh_price,wynn_price,bkng_price,orly_price,len_price,low_price,cmg_price,mcd_price,f_price,deck_price,ccl_price,mar_price,tsla_price,pool_price,bby_price,gpc_price,hd_price,aptv_price,lulu_price,xly_calculated_price,cvna_price
2025-08-06,29.94,185.14,230.08,4072.80,302.96,75.48,141.34,154.06,60.25,146.55,121.18,443.78,132.10,35.09,112.15,260.95,120.23,88.99,200.75,258.08,314.02,516.19,7870.20,205.15,77.05,52.47,52.72,92.54,222.31,56.22,130.50,24.81,107.21,5536.31,104.44,119.35,238.29,42.69,307.66,11.21,105.72,29.24,262.71,319.91,309.56,67.43,133.45,386.80,65.12,196.51,223.74,
2025-08-07,29.75,187.61,228.96,4060.33,283.34,74.35,142.56,153.89,60.02,145.15,120.45,442.42,131.98,34.71,108.48,260.92,120.67,91.02,199.60,270.99,309.78,506.17,7830.44,206.66,77.35,52.95,53.01,93.02,223.13,55.25,120.03,24.47,107.23,5432.10,103.47,119.51,238.56,42.69,307.91,11.28,101.89,29.01,260.59,322.27,308.64,67.55,133.97,386.17,65.80,191.14,222.95,
2025-08-08,29.46,195.26,232.38,4035.16,288.26,74.19,141.28,156.50,59.26,145.22,120.61,440.04,131.37,34.18,109.09,262.30,121.64,92.12,199.42,259.19,301.44,498.21,7858.68,202.00,77.49,53.53,52.63,93.14,222.69,54.96,121.02,24.00,106.41,5405.91,103.33,120.85,241.15,41.44,305.45,11.32,101.68,28.37,259.92,329.65,305.68,68.97,133.09,387.85,66.90,189.43,223.44,
2025-08-11,29.24,192.63,228.99,4036.79,288.56,74.02,141.27,154.96,59.53,146.49,119.94,440.54,132.40,34.38,107.96,261.05,120.20,91.74,200.00,256.09,302.86,498.70,7793.29,201.55,77.57,54.01,53.02,95.30,221.30,55.94,118.30,23.73,108.63,5364.25,103.60,120.53,239.85,41.62,304.36,11.14,100.47,28.61,257.97,339.03,306.65,68.59,133.40,387.53,66.78,186.44,223.43,
2025-08-12,30.12,203.19,232.95,4000.67,299.68,74.90,142.09,158.26,59.30,148.00,125.77,441.19,133.39,35.40,110.86,268.77,123.33,93.37,206.97,264.32,313.08,516.02,7962.30,205.13,78.25,54.16,53.89,97.06,221.47,56.66,121.61,24.24,112.49,5461.54,101.89,124.47,244.87,42.83,301.64,11.25,103.74,29.64,265.01,340.84,312.85,70.24,134.76,396.00,71.70,192.93,226.61,
2025-08-13,31.71,209.68,236.58,4036.43,302.14,77.20,144.79,165.55,59.73,150.28,132.62,450.98,134.10,36.45,113.53,272.85,129.96,94.18,210.20,254.20,313.42,532.71,8296.64,206.92,80.32,55.58,54.33,100.77,224.56,58.62,124.55,24.76,111.82,5447.92,102.64,130.89,256.33,43.48,305.07,11.44,106.48,30.64,269.70,339.38,330.73,72.73,138.05,407.18,74.72,200.49,229.64,
2025-08-14,31.56,207.20,235.06,3992.48,290.39,76.39,146.77,163.90,59.69,147.38,128.88,450.59,132.95,36.33,95.69,270.34,128.55,93.06,205.44,247.44,312.30,526.18,8198.55,206.06,80.55,56.42,54.12,98.48,230.98,58.14,124.64,24.36,111.38,5484.77,101.50,130.45,253.05,43.17,308.95,11.44,103.86,30.25,266.55,335.58,326.09,71.74,137.77,400.32,74.29,195.19,229.41,
2025-08-15,30.97,207.44,232.34,4006.91,290.61,76.97,148.18,165.62,60.49,146.94,128.08,451.26,132.62,35.92,100.74,267.73,128.69,90.60,203.23,248.00,313.95,521.00,8235.00,207.35,81.14,56.31,53.66,100.70,231.03,57.76,125.10,24.30,109.45,5454.29,101.54,131.95,252.06,44.04,308.93,11.44,102.96,29.76,265.20,330.56,321.75,71.63,137.80,399.38,74.18,198.46,228.84,
2025-08-18,30.84,206.67,232.60,4039.95,289.66,77.43,149.34,165.16,61.10,146.06,127.09,444.85,133.06,36.18,99.91,269.15,128.21,92.54,201.65,253.34,326.80,516.87,8151.74,205.41,81.51,56.23,52.80,99.03,231.49,58.45,125.49,24.58,108.15,5532.00,101.39,131.43,250.89,43.38,308.70,11.46,105.58,29.97,266.26,335.16,316.08,71.80,137.14,394.70,75.71,203.62,229.80,
2025-08-19,31.26,208.04,233.45,4128.80,285.35,76.88,152.01,168.11,62.28,147.88,127.79,450.56,134.62,36.71,97.92,271.73,130.37,90.93,202.69,248.37,330.07,516.55,8246.89,207.84,80.05,57.06,53.60,99.89,228.01,59.38,126.00,24.43,112.83,5584.08,103.06,134.25,256.36,43.25,310.93,11.58,105.52,29.57,266.78,329.31,324.78,74.10,138.75,407.20,76.14,197.66,229.67,
2025-08-20,30.62,205.68,230.15,4158.10,286.22,76.26,149.34,163.37,61.03,146.35,124.05,442.86,138.27,36.31,98.87,269.90,126.54,89.51,199.27,243.82,329.12,516.69,8031.97,207.49,79.69,56.77,53.62,99.15,223.81,57.81,124.96,23.85,111.51,5639.78,104.00,130.32,257.14,43.07,313.08,11.49,104.05,29.26,263.53,323.90,314.95,72.27,136.99,401.74,75.15,198.12,227.44,
2025-08-21,30.59,205.35,229.59,4127.69,285.46,76.18,148.01,161.87,61.00,145.62,124.17,446.86,137.51,36.22,98.39,269.19,125.37,88.56,197.21,245.18,325.03,520.18,7953.90,206.54,79.41,56.51,53.51,98.86,221.95,57.89,126.43,23.36,110.89,5710.74,102.87,129.14,255.65,42.91,313.22,11.33,104.69,29.27,262.27,320.11,308.63,72.39,136.33,397.70,74.37,198.18,227.42,
2025-08-22,31.84,214.81,235.92,4110.61,285.80,78.38,147.87,170.68,61.61,147.25,133.21,450.99,136.54,38.06,99.66,277.50,132.33,88.38,203.42,247.32,344.67,529.50,8212.81,208.58,81.85,58.37,55.05,99.22,228.84,60.06,129.92,25.05,114.31,5720.87,102.31,135.75,263.73,43.64,314.07,11.74,109.10,31.30,273.82,340.01,323.73,75.39,139.50,412.79,78.43,207.59,234.80,
2025-08-25,31.70,213.35,232.72,4139.83,287.39,79.17,146.89,168.96,61.52,147.45,132.06,460.66,135.50,38.12,98.47,274.07,132.28,85.81,197.96,245.28,344.97,524.37,8126.71,205.24,81.06,58.28,56.22,98.55,227.94,59.86,128.15,24.64,118.36,5703.60,102.47,134.80,258.87,42.75,313.44,11.82,113.03,31.25,268.60,346.60,321.43,74.32,139.25,408.90,78.83,202.44,231.26,
2025-08-26,31.47,213.63,232.60,4180.17,293.20,78.65,147.03,168.37,61.69,148.33,131.15,451.22,136.68,38.51,100.70,275.34,131.13,86.63,197.93,248.79,353.74,526.06,8068.25,205.98,81.60,58.80,56.19,94.64,228.71,59.67,126.89,24.76,119.08,5705.68,103.18,133.27,258.33,42.52,312.94,11.84,113.69,31.87,267.85,351.67,318.38,73.67,138.75,407.54,79.88,202.53,233.48,
2025-08-27,32.08,212.21,235.53,4205.41,294.64,78.06,145.33,167.50,62.38,150.29,132.22,452.55,137.23,39.77,100.98,276.40,131.03,87.66,192.17,245.65,359.07,533.81,8033.82,206.26,81.56,58.75,56.70,93.67,229.12,62.07,129.85,24.88,123.20,5615.68,104.05,133.33,258.67,42.65,311.43,11.91,116.73,32.34,269.67,349.60,317.85,75.45,139.85,408.24,79.95,205.57,233.63,
2025-08-28,32.25,214.71,241.05,4197.09,297.64,77.92,145.47,168.91,62.65,149.05,132.48,448.96,137.12,39.59,102.61,276.30,131.47,88.02,188.06,247.33,365.84,530.63,8074.80,206.71,81.60,58.49,57.71,92.80,231.60,62.17,130.46,25.39,126.74,5651.99,103.99,133.13,257.54,42.41,312.22,11.71,118.14,32.49,270.25,345.98,314.97,72.66,139.31,407.45,80.30,205.08,234.09,
2025-08-29,32.62,214.80,241.82,4198.53,296.93,77.37,146.97,169.48,61.76,147.16,132.69,458.30,136.61,39.69,101.82,276.06,132.02,88.19,188.19,245.25,363.22,492.73,8117.65,206.94,81.17,58.59,57.63,90.61,229.00,61.35,130.53,24.84,126.75,5599.05,103.68,133.14,258.06,42.14,313.54,11.77,119.63,31.89,267.86,333.87,310.71,73.64,139.33,406.77,79.53,202.20,231.66,
2025-09-02,31.96,212.12,234.29,4179.84,311.02,74.29,145.44,170.26,61.52,151.25,130.52,467.30,138.57,38.91,102.79,276.01,132.09,89.78,191.96,244.10,354.08,532.52,8169.85,208.06,79.75,58.53,57.01,89.89,225.34,59.69,127.59,24.72,125.47,5505.55,103.19,132.68,258.74,41.75,315.76,11.72,122.88,31.16,264.48,329.36,305.07,74.46,136.03,406.31,78.39,200.21,231.18,
2025-09-03,31.98,212.54,236.91,4189.48,313.36,74.74,144.55,172.17,60.14,150.73,130.58,466.60,139.47,38.11,104.43,275.00,133.30,87.25,192.13,248.83,355.00,531.07,8190.23,208.27,79.03,57.75,55.37,90.16,225.99,60.21,124.90,25.34,125.52,5582.95,103.84,134.08,260.68,41.79,316.39,11.62,123.67,31.33,265.07,334.09,304.74,74.89,136.27,407.71,79.63,198.53,231.20,
2025-09-04,32.30,216.52,237.66,4232.96,320.75,75.35,143.67,176.69,60.64,152.81,135.42,462.60,141.02,37.03,105.82,278.06,137.61,87.01,202.91,248.78,360.06,529.50,8407.77,210.19,80.40,58.15,55.11,93.03,235.68,60.95,125.37,25.59,122.89,5585.86,105.04,138.07,264.57,41.41,316.99,11.68,123.91,31.76,268.85,338.53,315.80,77.05,141.25,411.69,80.45,206.09,238.33,
2025-09-05,32.38,214.95,237.39,4219.41,312.02,73.91,144.58,181.80,60.52,150.95,139.29,463.83,139.26,36.68,104.18,272.30,140.57,85.43,202.42,246.85,352.27,514.86,8502.00,210.14,79.73,58.27,53.70,92.66,232.33,60.70,123.81,25.66,120.90,5505.80,104.84,141.88,269.97,41.06,314.38,11.74,120.40,31.57,264.70,350.84,333.09,76.17,139.50,418.95,80.44,167.80,234.90,
2025-09-08,32.61,217.20,239.51,4242.88,308.99,74.15,147.99,184.04,60.09,151.57,139.47,466.11,140.84,36.20,104.82,277.80,141.42,84.17,203.26,250.60,351.06,519.81,8543.00,210.79,79.36,58.20,53.75,93.02,235.84,61.38,124.62,24.53,122.67,5569.70,106.40,142.40,273.02,39.65,312.80,11.69,117.17,31.56,268.07,346.40,333.62,77.59,139.85,419.94,82.30,168.10,235.39,
2025-09-09,32.31,217.70,238.50,4291.12,309.79,73.60,145.78,177.88,59.08,149.04,135.46,458.97,139.97,36.00,105.18,274.97,136.72,83.81,202.64,256.53,345.31,513.85,8276.25,211.85,78.64,58.01,54.00,92.46,238.24,61.38,123.81,25.37,121.49,5571.83,106.92,137.45,269.03,39.46,312.52,11.49,115.41,31.57,264.00,346.97,321.87,77.02,138.95,415.34,82.14,165.69,235.35,
2025-09-10,32.09,215.49,235.96,4252.90,312.58,74.25,146.02,176.13,58.45,149.24,135.35,450.56,139.86,35.95,105.30,273.10,135.41,82.88,202.67,257.43,341.50,515.47,8335.89,211.46,77.66,57.34,54.50,91.29,230.33,59.19,123.41,25.43,122.90,5474.81,105.11,136.58,266.55,38.71,305.94,11.42,114.13,31.36,262.42,347.79,319.15,76.61,139.49,413.23,81.61,163.90,232.54,
2025-09-11,32.92,221.36,241.18,4354.54,316.35,74.33,149.14,181.01,60.02,151.10,139.75,456.62,140.83,35.34,106.87,278.22,138.66,82.36,203.52,260.19,350.23,521.89,8532.98,213.40,79.95,58.71,54.71,92.46,229.95,61.25,123.05,26.94,123.86,5498.00,107.82,140.09,272.40,38.96,308.43,11.76,117.87,32.47,267.94,368.81,329.80,78.46,142.77,423.42,83.72,165.78,239.62,
2025-09-12,32.30,222.19,238.08,4322.15,315.14,73.00,149.49,177.87,60.61,147.90,136.06,452.05,139.48,34.55,106.47,274.73,137.10,81.90,196.95,257.98,336.42,514.62,8414.82,212.61,78.38,58.50,53.50,90.80,228.15,59.77,122.55,26.65,121.45,5458.32,107.50,137.27,271.83,38.63,305.40,11.68,118.50,31.51,266.50,395.94,325.98,75.87,141.28,422.69,82.79,159.87,238.30,
2025-09-15,31.55,228.24,235.83,4233.30,315.77,73.03,148.90,172.09,59.61,147.05,137.08,449.95,141.17,35.64,110.17,271.25,134.84,82.68,201.07,258.09,329.79,526.08,8277.95,212.16,76.00,58.95,53.09,90.36,231.43,60.42,120.37,26.01,122.85,5559.83,106.30,133.77,272.09,38.58,302.07,11.68,118.66,31.24,265.14,410.04,324.78,74.55,139.04,422.71,82.80,159.98,238.03,
2025-09-16,31.52,224.98,236.67,4223.93,314.66,72.75,148.01,171.69,58.99,146.45,136.77,442.42,139.55,35.36,109.50,273.88,133.87,84.37,196.06,263.09,321.70,525.21,8209.98,210.04,74.69,58.46,51.86,88.85,234.05,60.35,121.66,25.58,120.68,5475.01,105.39,133.81,270.52,39.30,303.29,11.61,118.69,31.20,267.89,421.62,328.28,74.04,139.63,421.45,83.12,162.34,242.19,
2025-09-17,31.11,225.18,234.18,4232.57,306.12,72.31,148.26,169.98,59.10,146.66,131.28,438.21,140.04,35.29,109.88,266.41,134.10,83.22,196.61,259.25,323.07,528.80,8137.31,208.79,73.92,58.73,52.71,89.96,231.62,59.13,123.20,25.38,123.28,5553.70,104.55,132.97,267.95,39.67,304.97,11.66,118.68,31.19,262.05,425.86,323.33,74.52,139.23,417.00,82.88,163.48,241.02,
2025-09-18,31.13,221.92,237.25,4132.83,313.98,72.10,145.26,169.61,59.87,146.09,132.77,430.08,139.93,35.94,113.30,266.30,134.10,83.42,199.62,268.07,325.81,534.81,8178.48,192.74,74.88,59.26,53.21,89.60,231.23,60.00,125.47,25.41,128.68,5442.88,103.69,132.87,267.57,39.81,301.14,11.74,115.43,31.45,263.95,416.85,325.12,73.73,137.91,417.48,85.37,169.76,240.68,
2025-09-19,30.68,222.43,235.12,4140.36,312.45,70.89,145.66,168.30,59.66,146.18,130.66,428.71,139.78,35.80,114.19,268.61,131.90,84.56,198.25,265.29,328.60,521.47,8094.70,184.73,74.15,58.98,53.87,91.11,231.48,58.43,127.04,25.23,129.52,5444.44,103.93,127.32,265.20,39.32,302.38,11.62,113.79,30.52,268.52,426.07,317.92,72.23,137.33,415.69,85.28,169.62,238.59,
2025-09-22,30.32,223.51,236.38,4121.00,307.65,71.28,149.27,164.23,58.14,144.67,128.72,424.96,139.41,34.49,113.88,266.58,129.24,85.29,196.66,262.75,329.24,518.16,7925.23,185.21,74.71,58.88,52.86,90.59,227.63,58.10,125.44,25.39,126.05,5457.13,103.45,121.91,260.39,40.13,302.99,11.66,113.22,30.71,264.10,434.21,312.63,72.33,137.96,412.00,85.39,173.41,241.05,
2025-09-23,30.39,221.22,237.39,4120.00,310.65,70.93,149.44,166.27,58.56,145.68,127.83,423.89,139.72,34.77,116.14,263.70,130.05,85.69,200.38,265.75,330.59,524.60,7980.11,186.52,74.82,58.58,53.07,91.06,220.71,57.60,123.50,25.57,127.51,5509.02,103.73,123.25,259.81,39.68,303.19,11.73,112.03,30.71,261.84,425.85,312.94,73.01,138.66,410.91,85.46,173.33,237.20,
2025-09-24,30.39,217.83,236.44,4176.89,312.01,71.22,149.45,167.45,57.35,149.43,127.86,425.30,140.44,34.55,113.42,263.17,130.90,84.27,200.39,260.74,327.03,535.61,8036.63,186.61,75.23,59.92,52.99,93.36,220.21,57.05,123.08,25.23,125.92,5525.60,103.47,125.69,257.33,39.55,304.33,11.63,111.23,30.37,262.14,442.79,310.71,74.17,138.61,409.77,85.04,179.22,239.62,
2025-09-25,29.98,215.19,236.70,4136.07,302.89,69.24,150.41,165.00,56.42,149.46,125.55,422.75,141.46,34.48,107.80,261.28,128.74,83.83,201.11,262.08,324.53,539.48,7906.69,187.02,74.56,60.59,53.06,93.11,218.15,45.60,121.75,25.00,125.84,5575.73,104.58,124.02,255.53,39.33,302.30,11.62,105.83,30.48,260.90,423.39,305.08,74.19,136.26,407.45,84.72,172.01,236.73,
2025-09-26,30.30,222.87,240.48,4198.03,311.97,69.31,152.70,167.20,56.52,151.52,128.59,435.75,143.09,35.60,109.05,261.75,131.15,83.39,201.35,262.47,326.89,552.00,8032.78,188.12,75.59,61.24,54.01,91.14,219.78,44.86,123.70,25.04,128.97,5548.00,106.10,126.04,257.12,40.08,305.24,12.01,105.77,30.62,264.21,440.40,305.86,76.15,137.69,410.09,86.22,176.30,239.51,
2025-09-29,30.42,220.51,245.53,4273.84,308.64,69.55,153.94,169.83,56.69,151.86,128.11,434.41,143.52,36.53,111.46,262.28,133.14,85.64,191.98,272.50,326.72,553.71,8095.14,192.98,76.95,61.12,55.25,91.17,222.17,45.25,122.92,24.75,132.43,5454.81,107.55,127.68,253.32,39.90,302.99,12.09,103.28,29.40,266.82,443.21,310.90,75.66,139.22,406.80,85.77,179.11,241.39,
2025-09-30,30.54,213.75,246.22,4290.24,313.56,69.73,152.00,169.47,56.87,152.39,128.92,431.71,144.54,34.66,113.22,259.44,132.13,84.60,195.45,271.99,323.58,546.75,8034.66,190.36,75.85,60.97,53.79,90.95,219.57,44.87,121.42,24.63,128.27,5399.27,107.81,126.04,251.31,39.19,303.89,11.96,101.37,28.91,260.44,444.72,310.07,75.62,138.60,405.19,86.22,177.93,239.69,
2025-10-01,31.13,217.95,255.18,4247.96,317.42,74.20,153.19,172.44,55.92,153.20,128.91,428.16,144.32,34.69,113.83,256.75,134.44,84.40,195.30,267.64,316.02,556.04,8036.48,192.40,75.31,61.34,54.77,87.58,220.63,46.04,122.32,24.19,132.03,5350.56,105.68,128.21,247.99,38.97,300.52,12.27,101.18,28.36,261.66,459.46,309.18,77.35,138.17,397.02,87.10,177.57,241.38,
2025-10-02,31.31,217.69,257.74,4253.71,322.38,74.57,151.35,171.47,56.23,156.17,129.34,431.24,142.49,34.75,115.56,258.91,134.88,86.72,196.14,270.09,320.11,557.82,8071.61,193.49,75.17,59.36,55.05,88.40,222.41,46.07,121.49,24.57,133.34,5424.55,104.97,128.33,247.33,40.27,299.88,12.22,103.80,28.85,266.40,436.00,312.05,76.62,140.39,395.01,87.36,178.20,237.87,
2025-10-03,31.36,219.23,257.06,4215.08,321.81,71.93,150.69,174.95,55.83,152.64,129.17,426.71,141.33,33.93,114.92,258.43,137.61,86.42,199.43,271.22,314.05,556.45,8178.00,193.18,75.89,60.13,50.97,92.17,219.51,46.42,120.22,24.32,123.66,5418.05,104.79,130.07,246.35,41.76,300.98,12.67,103.05,28.57,267.57,429.83,309.61,76.86,139.73,395.06,87.98,175.59,234.61,
2025-10-06,30.72,223.83,257.64,4174.43,321.10,71.17,148.78,171.53,54.69,152.26,126.17,422.91,143.11,33.92,115.49,260.18,135.48,82.11,196.15,281.74,317.30,566.91,8068.75,193.27,74.78,58.19,52.27,91.77,220.90,46.81,120.35,24.10,124.59,5419.87,103.30,126.39,241.67,41.63,296.04,12.70,102.04,29.09,271.94,453.25,307.29,75.60,138.45,389.33,87.60,174.12,239.71,
2025-10-07,29.97,216.16,256.32,4085.93,324.77,68.91,146.72,161.16,53.71,150.34,122.58,411.43,142.66,33.12,115.26,258.64,129.60,81.29,189.06,276.78,314.75,556.77,7840.11,191.54,74.83,57.26,51.80,93.04,221.78,44.86,119.85,23.90,122.91,5242.00,101.85,122.14,239.89,40.95,296.32,11.92,97.98,28.71,267.45,433.09,301.09,75.23,136.01,386.81,85.26,173.17,236.05,
2025-10-08,29.70,212.41,259.77,4027.76,329.03,69.09,146.03,158.66,53.92,152.02,122.25,413.50,140.71,32.32,116.81,260.06,127.66,80.04,191.11,281.05,308.31,565.81,7756.83,187.92,75.57,56.40,53.27,92.08,225.22,44.36,119.99,23.68,121.57,5131.23,100.76,120.12,237.59,40.98,294.40,11.74,101.58,28.92,267.98,438.69,301.72,76.95,133.68,383.79,84.46,174.82,236.19,
2025-10-09,29.31,216.81,256.50,3967.28,322.93,68.06,142.69,151.39,54.22,149.98,119.57,405.33,138.56,32.45,113.48,260.10,121.41,79.78,189.29,275.44,306.99,561.15,7619.24,186.69,74.64,55.92,51.86,90.13,227.74,44.11,120.15,23.29,123.55,5191.93,99.72,117.91,234.67,40.89,293.81,11.50,98.85,28.45,266.14,435.54,296.24,75.23,131.52,377.69,82.71,173.48,234.99,
2025-10-10,28.68,210.33,248.03,4075.31,309.42,65.22,141.62,151.58,54.24,147.71,117.54,406.37,140.38,31.28,108.22,259.53,120.04,78.46,181.45,266.02,304.62,549.28,7450.90,181.17,70.95,55.35,49.61,88.55,216.37,43.17,118.19,22.45,119.89,5164.93,102.15,118.77,232.22,39.82,297.01,11.41,95.07,27.69,260.20,413.49,289.91,70.43,130.34,375.75,80.70,167.51,230.02,
2025-10-13,29.15,215.64,251.34,4097.97,317.23,67.38,140.47,152.59,54.91,154.77,119.25,408.26,141.39,31.57,114.06,263.36,120.49,80.03,190.00,273.52,306.22,542.93,7584.90,185.01,72.41,55.62,46.47,89.36,220.07,43.69,118.86,23.04,112.52,5253.85,102.88,118.02,234.48,40.90,300.11,11.54,98.31,28.09,263.26,435.90,291.73,77.45,131.70,379.37,81.70,169.85,234.29,
2025-10-14,29.83,223.12,249.33,4055.99,317.92,67.64,143.98,156.74,55.48,155.26,125.71,424.23,144.10,32.45,116.26,268.40,124.89,81.15,191.50,270.54,313.86,541.01,7737.01,187.00,73.14,57.15,48.04,91.06,216.39,44.00,122.89,23.75,116.11,5280.14,103.05,122.23,240.75,42.10,304.56,11.65,99.28,28.96,267.97,429.24,295.46,77.21,133.66,387.72,82.73,169.13,235.07,
2025-10-15,29.75,218.43,249.43,4027.03,318.44,68.46,144.51,155.24,55.81,156.99,127.45,417.46,145.16,32.17,116.69,265.11,124.68,82.86,190.06,272.61,311.16,538.49,7645.22,188.36,74.13,57.80,49.03,90.87,215.57,44.42,124.26,23.58,118.07,5080.86,102.12,122.44,241.53,41.77,305.25,11.76,96.44,28.84,266.19,435.15,290.44,78.41,133.55,388.30,83.64,167.10,233.22,
2025-10-16,29.82,213.57,246.74,4007.91,323.16,66.84,143.38,152.92,55.16,155.21,126.99,416.95,142.55,31.69,116.51,257.47,123.88,84.34,187.50,266.67,298.51,537.29,7605.88,187.45,74.40,57.34,49.14,91.18,214.47,43.27,122.89,22.85,115.92,4952.31,101.17,122.87,243.10,41.76,305.33,11.74,99.06,28.21,259.04,428.75,290.17,78.54,133.77,387.39,83.49,164.62,232.01,
2025-10-17,30.04,214.76,248.99,4030.17,327.76,67.37,145.25,153.69,55.20,156.31,127.36,416.26,143.84,31.58,116.82,260.27,124.45,85.36,185.36,263.06,300.31,533.51,7639.06,188.19,74.81,58.38,48.54,92.01,213.04,42.90,125.91,22.94,117.81,5070.02,101.60,125.82,244.70,41.86,308.09,11.92,99.82,28.31,260.85,439.31,290.21,79.71,133.10,391.90,82.76,167.41,235.58,
