date,evrg_price,pcg_price,aep_price,awk_price,ato_price,etr_price,dte_price,ppl_price,es_price,duk_price,exc_price,lnt_price,eix_price,vst_price,fe_price,cnp_price,cms_price,ceg_price,nee_price,nrg_price,so_price,aee_price,pnw_price,aes_price,d_price,sre_price,wec_price,peg_price,ni_price,ed_price,xel_price,xlu_calculated_price
2025-08-18,71.43,15.10,110.70,142.66,164.02,87.85,137.40,36.24,64.54,121.46,44.00,64.43,55.63,198.96,42.83,37.73,72.03,322.77,75.72,150.44,92.85,99.95,90.33,13.36,60.40,80.99,106.39,84.12,41.71,99.74,72.21,84.89
2025-08-19,72.50,15.60,112.66,145.21,165.81,88.81,139.73,36.73,65.71,123.78,44.74,66.02,56.35,193.52,43.42,38.21,73.03,317.23,76.51,148.38,94.18,101.86,92.07,13.30,61.30,82.65,108.48,84.59,42.28,101.10,73.22,85.73
2025-08-20,72.60,15.36,113.55,145.62,166.09,89.83,140.49,37.09,65.71,124.48,44.88,66.33,55.96,192.91,43.58,38.50,73.01,314.21,76.18,148.19,94.93,101.99,92.31,13.20,61.52,82.40,108.91,85.16,42.54,101.76,73.17,85.83
2025-08-21,72.54,14.67,113.14,145.87,166.79,89.22,140.20,36.72,65.42,124.14,44.64,66.11,53.81,190.28,43.48,38.00,72.78,312.52,76.08,145.89,94.62,101.50,91.16,12.97,61.25,81.13,108.48,83.29,42.29,101.50,73.16,85.07
2025-08-22,72.30,15.19,114.02,146.20,168.21,89.33,139.94,36.90,66.53,124.34,44.96,66.97,55.60,190.46,43.79,38.05,73.12,310.16,76.32,145.09,94.48,101.95,91.35,13.49,61.90,82.90,108.54,83.70,42.94,101.65,74.26,85.56
2025-08-25,71.65,14.91,113.01,144.40,165.45,89.17,138.42,36.51,63.39,123.11,44.60,66.18,54.50,190.08,43.64,37.70,72.22,310.68,75.32,144.77,93.13,100.73,89.98,13.49,60.19,81.69,106.96,82.60,42.67,99.95,73.03,84.69
2025-08-26,71.76,15.05,112.63,143.95,166.01,89.59,138.10,36.52,64.11,123.28,44.42,65.71,54.92,195.12,43.59,37.70,72.09,316.58,74.84,146.23,93.09,100.84,89.96,13.34,59.82,81.78,107.16,83.47,42.38,99.72,72.54,84.88
2025-08-27,72.06,15.08,112.89,144.75,166.25,89.55,138.41,36.62,64.80,123.68,44.39,65.80,55.38,194.60,43.77,37.73,72.21,315.94,73.89,148.12,93.28,100.91,90.43,13.36,60.34,82.26,107.68,82.84,42.44,100.07,72.87,84.92
2025-08-28,71.21,14.99,111.78,142.93,165.43,88.13,136.50,36.56,64.30,122.37,43.76,65.02,54.72,196.70,43.56,37.48,71.21,319.55,72.09,148.66,92.24,99.74,89.32,13.48,59.81,81.44,106.31,82.59,42.14,98.17,72.34,84.65
2025-08-29,71.26,15.28,111.02,143.51,166.13,88.09,136.65,36.47,64.07,122.49,43.68,65.07,56.13,189.11,43.62,37.71,71.57,307.98,72.05,145.56,92.30,99.78,89.36,13.54,59.90,82.56,106.51,82.33,42.27,98.23,72.39,84.34
2025-09-02,71.27,15.32,110.09,141.41,165.46,87.41,135.65,36.42,63.70,121.89,43.37,64.66,55.79,185.81,43.47,37.94,71.16,307.19,72.65,145.11,92.09,99.72,88.80,13.41,59.14,82.89,106.02,81.81,42.11,97.20,72.14,83.32
2025-09-03,71.39,15.35,110.03,140.70,165.22,87.20,135.49,36.22,63.30,121.50,43.38,64.52,55.35,188.12,43.40,37.62,71.52,308.48,71.63,146.91,91.66,99.92,88.73,13.23,58.92,82.23,106.89,81.35,41.80,97.85,72.43,83.62
2025-09-04,71.58,15.23,108.64,141.57,164.79,88.18,136.41,36.50,63.42,120.87,43.34,64.72,54.67,189.73,43.47,37.46,71.54,309.06,70.87,147.95,91.87,100.88,89.28,12.81,58.79,82.12,107.48,81.73,39.83,97.80,72.24,83.38
