date,nxpi_shares,hpq_shares,amat_shares,ctsh_shares,klac_shares,cdw_shares,adbe_shares,crm_shares,mchp_shares,wday_shares,txn_shares,fico_shares,qcom_shares,ntap_shares,msft_shares,ffiv_shares,ftnt_shares,cohr_shares,acn_shares,jbl_shares,cien_shares,wdc_shares,it_shares,mu_shares,q_shares,now_shares,adi_shares,nvda_shares,app_shares,lite_shares,tyl_shares,crwd_shares,lrcx_shares,mpwr_shares,vrsn_shares,intu_shares,pltr_shares,msi_shares,panw_shares,avgo_shares,trmb_shares,swks_shares,gen_shares,fslr_shares,dell_shares,sndk_shares,zbra_shares,rop_shares,ter_shares,ibm_shares,glw_shares,gddy_shares,smci_shares,ptc_shares,tdy_shares,stx_shares,aapl_shares,intc_shares,epam_shares,anet_shares,ddog_shares,tel_shares,hpe_shares,adsk_shares,amd_shares,orcl_shares,akam_shares,cdns_shares,on_shares,keys_shares,aph_shares,snps_shares,csco_shares
2026-03-11,1967035,7305560,6226495,3772338,1026938,1017515,3271802,7440824,4224166,1696061,7101781,185338,8370964,1560193,22257821,450895,4940414,,4846931,835027,639404,2672209,563383,8773129,1636887,8108397,3845152,72771495,2115655,,336362,1961453,9817144,374489,652137,2179103,17854284,1301793,6215492,14142166,1859633,1162069,4386448,838655,2355721,1153185,395950,841237,1224033,7305817,6098013,1056237,3919351,936343,366956,1702884,44250815,35045237,431752,8070880,2543707,2299360,10312749,1664860,12724844,13146220,1124478,2127506,3144944,1343222,9567184,1451824,30800597
2026-03-12,1985170,7373069,6284059,3807204,1036415,1026875,3302105,7509620,4263244,1711739,7167418,187093,8448418,1574584,22463624,455107,4986044,,4891742,842749,645371,2696896,568648,8854210,1651980,8183394,3880720,73444362,2135194,,339521,1979588,9907936,377999,658221,2199227,18019371,1313844,6272939,14272972,1876832,1172833,4427047,846377,2377483,1163832,399577,848959,1235382,7373326,6154407,1065948,3955621,945001,370349,1718679,44659964,35369327,435730,8145526,2567224,2320654,10408104,1680304,12842546,13267783,1134891,2147162,3174077,1355624,9655636,1465279,31085375
2026-03-13,1972925,7327486,6245191,3783662,1030016,1020555,3281644,7463168,4236858,1701153,7123099,185908,8396120,1564867,22324663,452263,4955234,,4861485,837535,641342,2680227,565093,8799463,1641789,8132755,3856704,72990033,2122001,,337388,1967343,9846632,375629,654113,2185639,17907902,1305707,6234150,14184650,1865219,1165565,4399634,841163,2362789,1156643,397128,843745,1227719,7327743,6116329,1059391,3931131,939155,368058,1708014,44383701,35150497,433044,8095124,2551345,2306276,10343719,1669876,12763072,13185702,1127860,2133890,3154406,1347250,9595912,1456194,30893089
2026-03-16,1976335,7340180,6256015,3790218,1031798,1022315,3287342,7476104,4244206,1704101,7135441,186238,8410684,1567573,22363361,453055,4963814,,4869911,838987,642464,2684869,566083,8814709,1644627,8146857,3863392,73116555,2125675,,337982,1970753,9863704,376289,655257,2189423,17938944,1307973,6244952,14209246,1868453,1167589,4407268,842615,2366881,1158645,397810,845197,1229853,7340437,6126933,1061217,3937951,940783,368696,1710984,44460635,35211437,433792,8109160,2555767,2310280,10361649,1672780,12785204,13208560,1129818,2137586,3159884,1349582,9612544,1458724,30946637
2026-03-17,1977575,7344796,6259951,3792602,1032446,1022955,3289414,7480808,4246878,1705173,7139929,186358,8415980,1568557,22377433,453343,4966934,,4872975,839515,642872,2686557,566443,8820253,1645659,8151985,3865824,73162563,2127011,,338198,1971993,9869912,376529,655673,2190799,17950232,1308797,6248880,14218190,1869629,1168325,4410044,843143,2368369,1159373,398058,845725,1230629,7345053,6130789,1061881,3940431,941375,368928,1712064,44488611,35233597,434064,8114264,2557375,2311736,10368169,1673836,12793252,13216872,1130530,2138930,3161876,1350430,9618592,1459644,30966109
2026-03-18,1967810,7308445,6228955,3773828,1027343,1017915,3273097,7443764,4225836,1696731,7104586,185413,8374274,1560808,22266616,451075,4942364,,4848846,835357,639659,2673264,563608,8776594,1637532,8111602,3846672,72800250,2116490,,336497,1962228,9821024,374639,652397,2179963,17861339,1302308,6217947,14147756,1860368,1162529,4388183,838985,2356651,1153640,396105,841567,1224518,7308702,6100423,1056652,3920901,936713,367101,1703559,44268300,35059087,431922,8074070,2544712,2300270,10316824,1665520,12729874,13151415,1124923,2128346,3146189,1343752,9570964,1452399,30812767
2026-03-19,1965795,7300944,6222559,3769954,1026290,1016875,3269730,7436120,4221494,1694989,7097293,185218,8365668,1559209,22243749,450607,4937294,,4843867,834499,638996,2670521,563023,8767585,1635855,8103269,3842720,72725487,2114319,,336146,1960213,9810936,374249,651721,2177727,17842996,1300969,6211564,14133222,1858457,1161333,4383672,838127,2354233,1152457,395702,840709,1223257,7301201,6094157,1055573,3916871,935751,366724,1701804,44222839,35023077,431480,8065776,2542099,2297904,10306229,1663804,12716796,13137908,1123766,2126162,3142952,1342374,9561136,1450904,30781125
2026-03-20,1876151,6843180,5916783,3565050,977122,970563,3060122,6984884,4033918,1587833,6765365,176844,7953920,1476457,22727181,421303,4711994,1397584,4586827,787171,1049992,2527365,525151,8390133,1561411,7797469,3642480,74373547,2020183,532248,320730,1879309,9308996,363105,615217,2074407,17028672,1234921,6023840,14511358,1773561,1120949,4108560,799943,2215377,1100229,366718,794661,1167449,6968017,5820029,1007393,3750783,887075,349996,1625680,44933695,35001273,411832,7697704,2447079,2187460,9905601,1580348,12153944,12640788,1072506,2029146,2937248,1278562,9163212,1426216,29453517
2026-03-23,1876151,6843180,5916783,3565050,977122,970563,3060122,6984884,4033918,1587833,6765365,176844,7953920,1476457,22727181,421303,4711994,1397584,4586827,787171,1049992,2527365,525151,8390133,1561411,7797469,3642480,74373547,2020183,532248,320730,1879309,9308996,363105,615217,2074407,17028672,1234921,6023840,14511358,1773561,1120949,4108560,799943,2215377,1100229,366718,794661,1167449,6968017,5820029,1007393,3750783,887075,349996,1625680,44933695,35001273,411832,7697704,2447079,2187460,9905601,1580348,12153944,12640788,1072506,2029146,2937248,1278562,9163212,1426216,29453517
2026-03-24,1879429,6855148,5927123,3571276,978838,972257,3065468,6997094,4040980,1590605,6777201,177152,7967824,1479031,22766935,422029,4720244,1400026,4594857,788557,1051818,2531787,526075,8404807,1564139,7811109,3648860,74503611,2023725,533172,321280,1882587,9325276,363743,616295,2078037,17058460,1237077,6034378,14536719,1776663,1122907,4115754,801351,2219249,1102143,367356,796047,1169495,6980205,5830215,1009153,3757339,888637,350612,1628518,45012279,35062477,412558,7711168,2451369,2191288,9922915,1583120,12175196,12662898,1074376,2032688,2942369,1280806,9179228,1428702,29505019
2026-03-25,1883452,6869836,5939813,3578917,980944,974336,3072029,7012079,4049647,1594007,6791727,177530,7984888,1482190,22815724,422920,4730369,1403023,4604712,790258,1054059,2537214,527209,8422816,1567487,7827849,3656690,74663262,2028072,534306,321955,1886610,9345256,364526,617618,2082492,17095018,1239723,6047311,14567877,1780470,1125310,4124583,803079,2224001,1104492,368139,797748,1172006,6995163,5842716,1011313,3765385,890554,351368,1632001,45108723,35137618,413449,7727692,2456634,2195986,9944164,1586522,12201278,12690033,1076671,2037035,2948687,1283560,9198884,1431753,29568253
2026-03-26,1882856,6867660,5937933,3577785,980632,974028,3071057,7009859,4048363,1593503,6789575,177474,7982360,1481722,22808496,422788,4728869,1402579,4603252,790006,1053727,2536410,527041,8420148,1566991,7825369,3655530,74639610,2027428,534138,321855,1886014,9342296,364410,617422,2081832,17089602,1239331,6045395,14563261,1779906,1124954,4123275,802823,2223297,1104144,368023,797496,1171634,6992947,5840864,1010993,3764193,890270,351256,1631485,45094435,35126486,413317,7725244,2455854,2195290,9941012,1586018,12197414,12686013,1076331,2036391,2947751,1283152,9195972,1431301,29558885
2026-03-27,1883303,6869292,5939343,3578634,980866,974259,3071786,7011524,4049326,1593881,6791189,177516,7984256,1482073,22813917,422887,4729994,1402912,4604347,790195,1053976,2537013,527167,8422149,1567363,7827229,3656400,74657349,2027911,534264,321933,1886461,9344516,364497,617569,2082327,17093664,1239625,6046832,14566723,1780329,1125221,4124256,803015,2223825,1104405,368110,797685,1171913,6994609,5842253,1011233,3765087,890483,351340,1631872,45105151,35134835,413416,7727080,2456439,2195812,9943376,1586396,12200312,12689028,1076586,2036874,2948453,1283458,9198156,1431640,29565911
2026-03-30,1887436,6884240,5952433,3586545,982992,976368,3078477,7026859,4058183,1597323,6806035,177894,8001800,1485362,22863796,423848,4740369,1405999,4614452,791866,1056287,2542530,528321,8440588,1570871,7844329,3664430,74820670,2032328,535478,322695,1890554,9364996,365270,618922,2086892,17130982,1242331,6060075,14598581,1784226,1127734,4133315,804703,2228717,1106884,368923,799436,1174494,7009907,5855024,1013493,3773253,892390,352096,1635365,45203775,35211746,414277,7743884,2461854,2200570,9965172,1589858,12227034,12716753,1078931,2041331,2954931,1286292,9218349,1434761,29630625
2026-03-31,1888330,6887504,5955253,3588243,983460,976830,3079935,7030189,4060109,1598079,6809263,177978,8005592,1486064,22874638,424046,4742619,1406665,4616642,792244,1056785,2543736,528573,8444590,1571615,7848049,3666170,74856148,2033294,535730,322851,1891448,9369436,365444,619216,2087882,17139106,1242919,6062949,14605505,1785072,1128268,4135277,805087,2229773,1107406,369097,799814,1175052,7013231,5857802,1013973,3775041,892816,352264,1636139,45225207,35228444,414475,7747556,2463024,2201614,9969900,1590614,12232830,12722783,1079441,2042297,2956335,1286904,9222723,1435439,29644677
2026-04-01,1890565,6895664,5962303,3592488,984630,977985,3083580,7038514,4064924,1599969,6817333,178188,8015072,1487819,22901743,424541,4748244,1408330,4622117,793189,1058030,2546751,529203,8454595,1573475,7857349,3670520,74944843,2035709,536360,323241,1893683,9380536,365879,619951,2090357,17159416,1244389,6070134,14622815,1787187,1129603,4140182,806047,2232413,1108711,369532,800759,1176447,7021541,5864747,1015173,3779511,893881,352684,1638074,45278787,35270189,414970,7756736,2465949,2204224,9981720,1592504,12247320,12737858,1080716,2044712,2959845,1288434,9233658,1437134,29679807
2026-04-02,1890565,6895664,5962303,3592488,984630,977985,3083580,7038514,4064924,1599969,6817333,178188,8015072,1487819,22901743,424541,4748244,1408330,4622117,793189,1058030,2546751,529203,8454595,1573475,7857349,3670520,74944843,2035709,536360,323241,1893683,9380536,365879,619951,2090357,17159416,1244389,6070134,14622815,1787187,1129603,4140182,806047,2232413,1108711,369532,800759,1176447,7021541,5864747,1015173,3779511,893881,352684,1638074,45278787,35270189,414970,7756736,2465949,2204224,9981720,1592504,12247320,12737858,1080716,2044712,2959845,1288434,9233658,1437134,29679807
2026-04-06,1897074,6919768,5983073,3604991,988068,981442,3094343,7063069,4079085,1605535,6841091,178812,8042984,1492916,22981590,426029,4764819,1413281,4638182,795972,1061733,2555692,531045,8484042,1578959,7884729,3683310,75206091,2042830,538182,324347,1900312,9413176,367188,622120,2097642,17219230,1248727,6091273,14673769,1793468,1133552,4154589,808871,2240229,1112578,370801,803542,1180560,7046015,5885130,1018653,3792729,896992,353912,1643863,45436654,35393092,416423,7783828,2474544,2211858,10016528,1598070,12290026,12782263,1084401,2051833,2970139,1292916,9265847,1442127,29783329
2026-04-07,1899905,6930104,5992003,3610368,989550,982905,3098960,7073614,4085184,1607929,6851313,179078,8054992,1495139,23015923,426675,4771944,1415390,4645117,797169,1063310,2559511,531843,8496715,1581315,7896509,3688820,75318457,2045889,538980,324841,1903143,9427236,367739,623051,2100777,17244956,1250589,6100374,14695695,1796147,1135243,4160802,810087,2243573,1114231,371352,804739,1182327,7056541,5893927,1020173,3798391,898341,354444,1646314,45504541,35445969,417050,7795456,2478249,2215164,10031500,1600464,12308380,12801358,1086016,2054892,2974585,1294854,9279698,1444274,29827827
2026-04-08,1904673,6947512,6007043,3619424,992046,985369,3106736,7091374,4095456,1611961,6868529,179526,8075216,1498883,23073747,427763,4783944,1418942,4656797,799185,1065966,2565943,533187,8518059,1585283,7916349,3698100,75507705,2051041,540324,325673,1907911,9450916,368667,624619,2106057,17288284,1253725,6115702,14732623,1800659,1138091,4171266,812135,2249205,1117015,372280,806755,1185303,7074269,5908743,1022733,3807927,900613,355340,1650442,45618877,35535025,418106,7815040,2484489,2220732,10056716,1604496,12339292,12833518,1088736,2060044,2982073,1298118,9303026,1447890,29902771
2026-04-09,1908451,6960980,6018683,3626550,993962,987263,3112802,7105184,4103418,1615133,6881865,179884,8091020,1501857,23118621,428591,4793194,1421684,4665827,800771,1068092,2570865,534231,8534633,1588311,7931749,3705280,75654513,2054983,541448,326285,1911629,9469296,369345,625817,2110127,17321972,1256161,6127540,14761251,1804161,1140249,4179360,813743,2253577,1119229,372998,808341,1187549,7088017,5920229,1024793,3815383,902375,356036,1653580,45707583,35604151,418932,7830204,2489279,2225060,10076252,1607588,12363244,12858468,1090906,2064066,2987821,1300662,9321064,1450736,29960895
